caption,tags,quote,actual_quote,child_len
"Because I’m predominately Black, and I articulate when I speak.","['xs', 'race']",“You act (or “are trying to act”) white.”,"You act (or ""are trying to act"") white.",8
Someone’s status on Facebook.,"['xs', 'gender']","“If Rihanna likes the way it hurts, why did she leave Chris Brown?”","If Rihanna likes the way it hurts, why did she leave Chris Brown?",13
,"['xs', 'religion']","“What do you mean, you don’t celebrate Christmas? It’s for everyone!”","What do you mean, you don't celebrate Christmas? It's for everyone!",11
"A boy at my high school Student Council meeting while discussing a Spirit Week to get people riled up for homecoming. October 2011, Boston, MA. Made me feel objectified, upset.","['xs', 'gender']",“We should take points off for the grade with the most promiscuously dressed girls at homecoming.”,We should take points off for the grade with the most promiscuously dressed girls at homecoming.,16
"My dad, who cannot understand my butch presentation.","['xs', 'sexuality', 'gender']",“I would rethink your profile picture. Employers look at facebook to screen candidates.”,I would rethink your profile picture. Employers look at facebook to screen candidates.,13
"What people ask when I describe how scary it was to have two men break into my home while I was there alone. It made me frustrated and sad–I was angry at the men who broke in, but I felt like I had to defend them. Sad that people were so fixated on if these men were black or not.","['xs', 'race']",“Were they black?”,Were they black?,3
,"['xs', 'gender']",“You mean your boyfriend coded it up in a week!”,You mean your boyfriend coded it up in a week!,10
Statement made by my boss during my annual review. I was the only female on his entire team.,"['gender', 'xs']",“You are very ambitious for a girl.”,You are very ambitious for a girl.,7
White teacher to a black student who was offended that another student described a neighborhood as “ghetto.”,"['xs', 'race', 'class']",“Don’t you think your reaction was offensive to others as well?”,Don't you think your reaction was offensive to others as well?,11
"My roommate to my Chinese & Filipino friend, as we were talking about our college study abroad plans, and my friend and I mentioned that neither of us had traveled outside the United States before.","['xs', 'race', 'nationality']",“Really? YOU’VE never been out of the country? You were BORN here?”,Really? YOU'VE never been out of the country? You were BORN here?,12
Two of my friends (both 19-yr-old college students) reacting to bisexuality.,"['xs', 'sexuality']",“Being bi is just a transition step between straight and gay. People who are bi just need to choose!”,Being bi is just a transition step between straight and gay. People who are bi just need to choose!,19
white cis hetero guy after I called out homophobia. So generous with his backhanded compliments,"['sexuality', 'gender', 'xs']","“I thought you were shallow and silly cuz you’re always dancing and smiling, but when you spoke up at the open mic I realized you have meaningful things to say.”","I thought you were shallow and silly cuz you're always dancing and smiling, but when you spoke up at the open mic I realized you have meaningful things to say.",30
"Girl in high school. Made me feel offended, angry, frustrated.","['xs', 'race', 'ethnicity']",“I call you that because that’s what you are. You’re Chinese. You’re Oriental. It’s what you are.”,I call you that because that's what you are. You're Chinese. You're Oriental. It's what you are.,17
"My grandmother, referring to the fact that my 6-year-old brother listens to Lady Gaga with me. Made me feel scared, angry. Because I know that if she can’t accept Lady Gaga, she’d never accept who I really am, either.","['gender', 'invisibility', 'xs']","“That’s a little inappropriate for a boy, don’t you think?”","That's a little inappropriate for a boy, don't you think?",10
"My white mother talking about my black father, after I complained he is frequently late. They divorced when I was little.","['xs', 'race']",“That’s just the black in him coming out.”,That's just the black in him coming out.,8
"At work, by a white administrator, after a mother came in for a conference & brought her little daughter. Made me feel alienated, disgusted, objectified, alone.","['xs', 'race']",“I want to steal a black baby.  Black babies are just so much cuter than white babies!”,I want to steal a black baby. Black babies are just so much cuter than white babies!,17
My mom while passing a female person of color cop directing traffic,"['xs', 'race', 'gender']","“Well, they’ll let just anyone be a cop these days.”","Well, they'll let just anyone be a cop these days.",10
